Al	-1,ROOT	_	PROPN
-	-1,PROPN	_	PUNCT
Zaman	-1,PROPN	_	PROPN
:	-2,PROPN	_	PUNCT
American	1,NOUN	_	ADJ
forces	1,VERB,ARG0	_	NOUN
killed	-2,PROPN	V.01	VERB
Shaikh	-1,VERB,ARG1	_	PROPN
Abdullah	-1,PROPN	_	PROPN
al	-2,PROPN	_	PROPN
-	-3,PROPN	_	PUNCT
Ani	-3,PROPN	_	PROPN
,	-4,PROPN	_	PUNCT
the	1,NOUN	_	DET
preacher	-4,PROPN	_	NOUN
at	1,NOUN	_	ADP
the	1,NOUN	_	DET
mosque	-1,VERB,ARGM-LOC	_	NOUN
in	1,NOUN	_	ADP
the	1,NOUN	_	DET
town	-1,NOUN	_	NOUN
of	1,PROPN	_	ADP
Qaim	-1,NOUN	_	PROPN
,	-1,NOUN	_	PUNCT
near	1,NOUN	_	ADP
the	1,NOUN	_	DET
Syrian	1,NOUN	_	ADJ
border	-1,NOUN	_	NOUN
.	-7,PROPN	_	PUNCT

[	1,VERB	_	PUNCT
This	1,NOUN	_	DET
killing	1,VERB,ARG0	V.01	NOUN
of	1,NOUN	_	ADP
a	1,NOUN	_	DET
respected	1,NOUN	_	ADJ
cleric	-1,NOUN,ARG1	_	NOUN
will	1,VERB,ARGM-MOD	_	AUX
be	1,VERB	V.03	AUX
causing	-1,ROOT	V.01	VERB
us	-1,VERB,ARGM-GOL	_	PRON
trouble	-1,VERB,ARG1	_	NOUN
for	1,NOUN	_	ADP
years	-1,VERB,ARGM-TMP	_	NOUN
to	1,VERB	_	PART
come	-1,NOUN	V.01	VERB
.	-2,VERB	_	PUNCT
]	-2,VERB	_	PUNCT

DPA	-1,ROOT	_	PROPN
:	-1,PROPN	_	PUNCT
Iraqi	1,NOUN	_	ADJ
authorities	1,VERB,ARG0	_	NOUN
announced	-1,PROPN	V.01	VERB
that	1,VERB	_	SCONJ
they	1,VERB,ARG0	_	PRON
had	1,VERB	V.01	AUX
busted	-1,VERB,ARG1	V.04	VERB
up	-1,VERB	_	ADP
3	1,NOUN	_	NUM
terrorist	1,NOUN	_	ADJ
cells	-1,VERB,ARG1	_	NOUN
operating	-1,NOUN	V.01	VERB
in	1,PROPN	_	ADP
Baghdad	-1,VERB,ARGM-LOC	_	PROPN
.	-2,PROPN	_	PUNCT

Two	1,VERB,ARG1	_	NUM
of	1,PRON	_	ADP
them	-1,NUM	_	PRON
were	1,VERB	V.03	AUX
being	1,VERB	V.03	AUX
run	-1,ROOT	V.01	VERB
by	1,NOUN	_	ADP
2	1,NOUN	_	NUM
officials	-1,VERB,ARG0	_	NOUN
of	1,PROPN	_	ADP
the	1,PROPN	_	DET
Ministry	-1,NOUN	_	PROPN
of	1,PROPN	_	ADP
the	1,PROPN	_	DET
Interior	-1,PROPN	_	PROPN
!	-1,VERB	_	PUNCT

The	1,PROPN	_	DET
MoI	1,AUX,ARG1	_	PROPN
in	1,PROPN	_	ADP
Iraq	-1,PROPN	_	PROPN
is	1,ADJ	V.01	AUX
equivalent	-1,AUX,ARG2	V.01	ADJ
to	2,PROPN	_	ADP
the	2,PROPN	_	DET
US	1,PROPN	_	PROPN
FBI	-1,ADJ,ARG2	_	PROPN
,	-1,ADJ	_	PUNCT
so	1,VERB,ARGM-ADV	_	ADV
this	1,VERB,ARG1	_	PRON
would	1,VERB,ARGM-MOD	_	AUX
be	-1,ADJ	V.01	VERB
like	1,VERB	_	SCONJ
having	-1,VERB,ARG2	V.04	VERB
J.	1,VERB,ARG0	_	PROPN
Edgar	-1,PROPN	_	PROPN
Hoover	-2,PROPN	_	PROPN
unwittingly	1,VERB,ARGM-MNR	_	ADV
employ	-1,VERB,ARG1	V.01	VERB
at	1,NOUN	_	ADP
a	1,NOUN	_	DET
high	1,NOUN	_	ADJ
level	-1,VERB,ARGM-ADV	_	NOUN
members	-1,VERB,ARG1	_	NOUN
of	1,NOUN	_	ADP
the	1,NOUN	_	DET
Weathermen	1,NOUN	_	PROPN
bombers	-1,NOUN	_	NOUN
back	-1,VERB,ARGM-TMP	_	ADV
in	1,NOUN	_	ADP
the	1,NOUN	_	DET
1960s	-1,VERB,ARGM-TMP	_	NOUN
.	-2,ADJ	_	PUNCT

The	1,ADJ	_	DET
third	1,VERB,ARG1	_	ADJ
was	1,VERB	V.03	AUX
being	1,VERB	V.03	AUX
run	-1,ROOT	V.01	VERB
by	1,NOUN	_	ADP
the	1,NOUN	_	DET
head	-1,VERB,ARG0	_	NOUN
of	2,NOUN	_	ADP
an	2,NOUN	_	DET
investment	1,NOUN	_	NOUN
firm	-2,NOUN	_	NOUN
.	-1,VERB	_	PUNCT

You	1,VERB,ARG0	_	PRON
wonder	-1,ROOT	V.01	VERB
if	1,VERB	_	SCONJ
he	1,VERB,ARG0	_	PRON
was	1,VERB	V.03	AUX
manipulating	-1,VERB,ARG1	V.02	VERB
the	1,NOUN	_	DET
market	-1,VERB,ARG1	_	NOUN
with	2,NOUN	_	ADP
his	2,NOUN	_	PRON
bombing	1,NOUN	_	NOUN
targets	-1,VERB,ARGM-MNR	_	NOUN
.	-2,VERB	_	PUNCT

The	1,NOUN	_	DET
cells	1,VERB,ARG0	_	NOUN
were	1,VERB	V.03	AUX
operating	-1,ROOT	V.01	VERB
in	1,NOUN	_	ADP
the	1,NOUN	_	DET
Ghazaliyah	1,NOUN	_	PROPN
and	2,PROPN	_	CCONJ
al	1,PROPN	_	PROPN
-	1,PROPN	_	PUNCT
Jihad	-2,PROPN	_	PROPN
districts	-1,VERB,ARGM-LOC	_	NOUN
of	1,NOUN	_	ADP
the	1,NOUN	_	DET
capital	-1,NOUN	_	NOUN
.	-1,VERB	_	PUNCT

Although	1,VERB	_	SCONJ
the	1,NOUN	_	DET
announcement	1,VERB,ARGM-PRR	V.01	NOUN
was	1,VERB	V.03	AUX
probably	1,VERB	_	ADV
made	-1,NOUN,ARGM-LVB	V.LV	VERB
to	1,VERB	_	PART
show	-1,VERB	V.01	VERB
progress	-1,VERB,ARG1	V.01	NOUN
in	1,VERB	_	SCONJ
identifying	-1,NOUN,ARG4	V.01	VERB
and	1,VERB	_	CCONJ
breaking	-1,VERB	V.08	VERB
up	-1,VERB	_	ADP
terror	1,NOUN	_	NOUN
cells	-2,VERB,ARG1	_	NOUN
,	1,VERB	_	PUNCT
I	1,VERB,ARG0	_	PRON
do	1,VERB	V.01	AUX
n't	1,VERB,ARGM-NEG	_	PART
find	-1,ROOT	V.02	VERB
the	1,NOUN	_	DET
news	-1,VERB,ARG1	_	NOUN
that	1,VERB	_	SCONJ
the	1,PROPN	_	DET
Baathists	1,VERB,ARG0	_	PROPN
continue	-1,NOUN	V.01	VERB
to	1,VERB	_	PART
penetrate	-1,VERB,ARG1	V.01	VERB
the	1,NOUN	_	DET
Iraqi	1,NOUN	_	ADJ
government	-1,VERB,ARG1	_	NOUN
very	1,ADJ	_	ADV
hopeful	-3,VERB,ARG1	_	ADJ
.	-3,VERB	_	PUNCT

It	1,VERB,ARG0	_	PRON
reminds	-1,ROOT	V.01	VERB
me	-1,VERB,ARG2	_	PRON
too	1,ADV	_	ADV
much	-1,VERB,ARGM-EXT	_	ADV
of	1,NOUN	_	ADP
the	1,NOUN	_	DET
ARVN	1,NOUN	_	PROPN
officers	-1,VERB,ARG1	_	NOUN
who	1,VERB,R-ARG0	_	PRON
were	1,VERB	V.03	AUX
secretly	1,VERB,ARGM-MNR	_	ADV
working	-1,NOUN	V.01	VERB
for	1,NOUN	_	ADP
the	1,NOUN	_	DET
other	1,NOUN,ARGM-ADJ	_	ADJ
side	-1,VERB,ARG2	V.01	NOUN
in	1,PROPN	_	ADP
Vietnam	-1,VERB,ARGM-LOC	_	PROPN
.	-2,VERB	_	PUNCT

Al	-1,ROOT	_	PROPN
-	-1,PROPN	_	PUNCT
Zaman	-1,PROPN	_	PROPN
:	-2,PROPN	_	PUNCT
Guerrillas	1,VERB,ARG0	_	NOUN
killed	-2,PROPN	V.01	VERB
a	1,NOUN	_	DET
member	-1,VERB,ARG1	_	NOUN
of	3,PROPN	_	ADP
the	3,PROPN	_	DET
Kurdistan	2,PROPN	_	PROPN
Democratic	1,PROPN	_	PROPN
Party	-1,NOUN	_	PROPN
after	1,VERB	_	SCONJ
kidnapping	-1,VERB,ARGM-TMP	V.01	VERB
him	-1,VERB,ARG1	_	PRON
in	1,PROPN	_	ADP
Mosul	-1,VERB,ARGM-LOC	_	PROPN
.	-6,PROPN	_	PUNCT

The	2,NOUN	_	DET
police	1,NOUN	_	NOUN
commander	1,VERB,ARG0	_	NOUN
of	2,PROPN	_	ADP
Ninevah	1,PROPN	_	PROPN
Province	-1,NOUN	_	PROPN
announced	-1,ROOT	V.01	VERB
that	1,VERB	_	SCONJ
bombings	1,VERB,ARG1	V.01	NOUN
had	1,VERB	V.01	AUX
declined	-1,VERB,ARG1	V.01	VERB
80	1,NOUN	_	NUM
percent	-1,VERB,ARG2	_	NOUN
in	1,PROPN	_	ADP
Mosul	-1,VERB,ARGM-LOC	_	PROPN
,	-1,VERB	_	PUNCT
whereas	1,VERB	_	SCONJ
there	1,VERB	_	PRON
had	1,VERB	V.01	AUX
been	-1,VERB,ARGM-ADV	V.02	VERB
a	1,NOUN	_	DET
big	1,NOUN,ARG2	_	ADJ
jump	-1,VERB,ARG1	V.01	NOUN
in	1,NOUN	_	ADP
the	1,NOUN	_	DET
number	-1,NOUN,ARG1	_	NOUN
of	1,NOUN	_	ADP
kidnappings	-1,NOUN	_	NOUN
.	-3,VERB	_	PUNCT

On	1,PROPN	_	ADP
Wednesday	1,VERB,ARGM-TMP	_	PROPN
guerrillas	1,VERB,ARG0	_	NOUN
had	1,VERB	V.01	AUX
kidnapped	-1,ROOT	V.01	VERB
a	1,NOUN	_	DET
cosmetic	1,NOUN	_	ADJ
surgeon	-1,VERB,ARG1	_	NOUN
and	1,NOUN	_	CCONJ
his	1,NOUN	_	PRON
wife	-1,NOUN	_	NOUN
while	1,NOUN	_	SCONJ
they	1,AUX,ARG1	_	PRON
were	1,NOUN	V.01	AUX
on	1,NOUN	_	ADP
their	1,NOUN,ARG0	_	PRON
way	-1,VERB,ARGM-TMP	V.01	NOUN
home	-1,NOUN,ARG1	_	ADV
.	-1,VERB	_	PUNCT

In	1,PROPN	_	ADP
Suwayrah	1,VERB,ARGM-LOC	_	PROPN
,	-1,PROPN	_	PUNCT
Kut	1,PROPN	_	PROPN
Province	-2,PROPN	_	PROPN
,	1,VERB	_	PUNCT
two	2,NOUN	_	NUM
car	1,NOUN	_	NOUN
bombs	1,VERB,ARG1	_	NOUN
were	1,VERB	V.03	AUX
discovered	-1,ROOT	V.01	VERB
before	1,VERB	_	SCONJ
they	1,VERB,ARG1	_	PRON
could	1,VERB,ARGM-MOD	_	AUX
be	1,VERB	V.03	AUX
detonated	-1,VERB,ARGM-TMP	V.01	VERB
.	-2,VERB	_	PUNCT

